aX,aY,aZ,gX,gY,gZ
0.278,0.04,0.818,6.592,-18.799,13.245
0.273,0.044,0.801,7.751,-19.47,13.794
0.271,0.049,0.798,8.667,-20.447,14.221
0.275,0.047,0.829,9.766,-21.667,14.771
0.276,0.047,0.865,10.62,-22.766,15.442
0.278,0.054,0.937,11.597,-24.109,15.869
0.28,0.058,1.004,11.963,-25.879,16.296
0.278,0.056,1.006,11.536,-27.771,16.235
0.272,0.053,0.968,10.559,-29.48,16.052
0.267,0.05,0.905,10.132,-30.579,15.808
0.262,0.05,0.824,10.01,-30.884,15.259
0.257,0.043,0.762,10.986,-30.64,14.709
0.257,0.027,0.729,12.939,-29.785,14.221
0.249,-0.01,0.759,15.93,-28.564,13.611
0.239,-0.044,0.819,19.287,-27.344,12.39
0.235,-0.064,0.853,22.888,-26.855,10.742
0.227,-0.076,0.846,26.245,-26.794,8.789
0.218,-0.075,0.823,29.114,-26.855,6.653
0.216,-0.063,0.799,31.006,-26.733,4.7
0.217,-0.052,0.77,32.288,-26.245,2.93
0.221,-0.047,0.77,32.593,-25.757,1.526
0.223,-0.047,0.824,31.86,-25.452,0.671
0.22,-0.043,0.882,30.396,-25.574,0.122
0.225,-0.026,0.912,27.832,-26.428,-0.122
0.227,-0.002,0.926,24.78,-27.405,-0.061
0.215,0.01,0.933,20.63,-28.198,0.549
0.207,0.016,0.931,16.052,-28.748,1.465
0.206,0.017,0.918,10.925,-29.053,2.502
0.198,0.007,0.901,6.348,-28.931,3.54
0.191,-0.007,0.913,2.502,-28.381,4.578
0.19,-0.02,0.909,-0.671,-27.283,5.371
0.19,-0.024,0.877,-2.441,-26.184,5.92
0.208,-0.009,0.861,-3.052,-24.231,6.531
0.215,-0.001,0.842,-2.625,-21.667,7.08
0.213,-0.006,0.825,-1.587,-18.372,7.69
0.207,-0.008,0.815,0.427,-14.832,8.057
0.186,-0.008,0.844,2.747,-11.047,8.362
0.168,-0.006,0.86,4.944,-7.385,8.606
0.155,-0.002,0.87,7.141,-4.639,8.972
0.157,0.001,0.893,9.277,-2.197,9.766
0.174,0.005,0.935,11.047,-0.244,10.62
0.195,0.004,0.988,12.756,0.977,11.414
0.207,-0.003,1.02,14.038,1.465,11.902
0.215,-0.01,1.04,14.954,0.977,12.39
0.214,-0.02,1.036,15.137,0,12.756
0.207,-0.035,0.992,15.076,-1.221,13
0.195,-0.047,0.943,14.587,-1.953,13.123
0.193,-0.058,0.897,13.367,-1.587,13.489
0.2,-0.07,0.862,11.902,-0.366,13.611
