aX,aY,aZ,gX,gY,gZ
-0.292,-0.106,-0.908,-85.999,-55.176,-26.062
-0.291,-0.113,-0.926,-82.336,-53.223,-25.879
-0.285,-0.119,-0.928,-79.163,-51.27,-25.452
-0.277,-0.128,-0.929,-75.684,-49.377,-25.024
-0.269,-0.135,-0.93,-72.388,-47.729,-24.536
-0.265,-0.148,-0.937,-69.214,-45.959,-23.926
-0.26,-0.157,-0.943,-66.223,-44.373,-23.132
-0.259,-0.165,-0.953,-63.538,-43.03,-22.217
-0.26,-0.172,-0.967,-60.486,-41.382,-20.935
-0.256,-0.177,-0.974,-57.312,-39.429,-19.714
-0.258,-0.181,-0.987,-53.894,-37.964,-18.372
-0.259,-0.189,-0.996,-50.598,-36.316,-16.724
-0.258,-0.198,-1.001,-47.18,-34.851,-15.32
-0.253,-0.203,-1,-43.579,-33.325,-13.794
-0.247,-0.211,-1.003,-39.795,-32.043,-12.146
-0.244,-0.222,-1.014,-35.156,-30.701,-10.376
-0.243,-0.233,-1.036,-30.518,-29.602,-8.362
-0.245,-0.242,-1.065,-25.513,-28.442,-6.104
-0.247,-0.252,-1.098,-20.081,-26.733,-4.089
-0.25,-0.267,-1.133,-14.954,-24.658,-2.441
-0.25,-0.283,-1.167,-9.827,-22.4,-0.061
-0.246,-0.3,-1.198,-5.066,-19.775,2.441
-0.24,-0.319,-1.222,-0.854,-16.357,4.944
-0.235,-0.339,-1.243,3.052,-12.939,7.751
-0.233,-0.357,-1.261,6.653,-9.644,10.62
-0.234,-0.378,-1.277,10.01,-6.592,13.428
-0.238,-0.402,-1.294,13.672,-3.601,16.479
-0.238,-0.42,-1.311,16.785,-0.244,19.409
-0.24,-0.44,-1.324,20.142,3.357,22.217
-0.237,-0.464,-1.336,23.193,7.324,24.902
-0.23,-0.483,-1.336,25.94,11.78,27.222
-0.22,-0.499,-1.324,28.687,16.235,29.297
-0.211,-0.514,-1.302,31.494,20.813,30.701
-0.201,-0.531,-1.278,34.119,25.33,31.555
-0.196,-0.547,-1.252,36.377,29.907,32.349
-0.188,-0.559,-1.224,38.452,34.363,32.532
-0.183,-0.569,-1.201,40.466,38.757,32.41
-0.18,-0.577,-1.18,42.603,42.908,31.921
-0.176,-0.577,-1.159,44.8,47.302,31.006
-0.172,-0.569,-1.137,47.485,51.697,29.602
-0.17,-0.558,-1.118,51.147,55.908,27.71
-0.17,-0.541,-1.098,55.664,60.486,25.269
-0.168,-0.518,-1.07,61.218,65.186,22.705
-0.166,-0.499,-1.045,68.176,69.519,19.836
-0.167,-0.481,-1.021,76.294,73.669,16.541
-0.168,-0.466,-0.991,84.717,77.82,13.306
-0.164,-0.449,-0.951,93.384,81.909,9.888
-0.157,-0.426,-0.911,102.539,85.632,6.348
-0.153,-0.397,-0.875,111.877,88.806,3.174
-0.152,-0.368,-0.845,121.033,92.224,0.122
-0.153,-0.335,-0.823,130.066,95.276,-2.38
-0.159,-0.301,-0.798,138.611,98.267,-4.089
-0.165,-0.276,-0.766,146.79,101.685,-5.554
-0.168,-0.254,-0.725,154.907,104.98,-7.263
-0.169,-0.226,-0.675,162.476,107.788,-8.606
-0.175,-0.195,-0.628,169.556,109.863,-9.888
-0.181,-0.159,-0.578,175.171,111.206,-10.498
-0.189,-0.121,-0.53,179.382,111.816,-10.62
-0.202,-0.076,-0.489,181.885,111.816,-10.376
-0.214,-0.024,-0.451,182.739,111.206,-9.338
-0.224,0.03,-0.411,181.885,110.352,-7.507
-0.229,0.075,-0.364,180.359,109.253,-5.066
-0.238,0.113,-0.319,177.979,107.422,-2.563
-0.246,0.152,-0.28,175.171,105.408,0.122
-0.261,0.191,-0.269,172.424,102.966,3.174
-0.281,0.219,-0.284,170.044,100.952,5.981
-0.311,0.237,-0.327,167.603,99.548,9.094
-0.338,0.252,-0.37,165.344,98.999,12.024
-0.362,0.264,-0.401,163.208,99.976,14.954
-0.366,0.28,-0.383,161.255,102.173,17.883
-0.361,0.302,-0.34,160.217,104.431,20.752
-0.36,0.323,-0.293,160.339,106.323,23.56
-0.369,0.334,-0.267,161.804,107.91,26.184
-0.382,0.332,-0.257,164.124,109.436,28.198
-0.391,0.328,-0.255,167.053,111.145,30.09
-0.393,0.333,-0.239,170.166,113.281,32.104
-0.381,0.345,-0.208,172.607,115.845,34.058
-0.366,0.352,-0.168,174.988,118.408,36.255
-0.352,0.355,-0.121,176.88,120.361,39.063
-0.35,0.353,-0.083,178.65,122.009,41.931
-0.361,0.345,-0.062,180.603,123.596,44.495
-0.372,0.333,-0.05,182.739,125.488,46.509
-0.373,0.324,-0.04,184.814,127.747,48.523
-0.372,0.317,-0.029,186.462,130.554,50.232
-0.363,0.331,0.007,187.256,134.094,52.185
-0.345,0.346,0.069,187.561,137.573,54.26
-0.338,0.348,0.141,186.584,140.808,56.824
-0.334,0.332,0.21,185.669,143.311,59.692
