aX,aY,aZ,gX,gY,gZ
-0.418,-0.569,0.689,2.441,15.32,2.014
-0.412,-0.572,0.683,1.16,16.724,2.014
-0.401,-0.571,0.68,-0.244,18.066,1.77
-0.386,-0.567,0.678,-1.343,19.592,1.831
-0.365,-0.561,0.669,-2.38,21.24,1.526
-0.34,-0.546,0.658,-3.479,22.827,1.465
-0.316,-0.526,0.646,-4.517,24.719,1.648
-0.292,-0.508,0.639,-5.066,26.367,2.075
-0.279,-0.504,0.654,-5.188,28.015,2.686
-0.274,-0.506,0.698,-5.188,28.931,3.235
-0.268,-0.511,0.749,-4.944,29.297,3.906
-0.266,-0.51,0.791,-4.822,29.053,4.211
-0.257,-0.505,0.807,-4.822,28.137,4.7
-0.238,-0.497,0.798,-4.639,26.978,5.188
-0.216,-0.483,0.781,-4.456,26.001,5.859
-0.191,-0.47,0.761,-4.211,25.696,6.531
-0.16,-0.455,0.732,-4.211,25.391,7.324
-0.137,-0.453,0.706,-4.028,25.452,8.362
-0.124,-0.459,0.707,-3.784,26.123,9.46
-0.104,-0.463,0.725,-3.845,26.855,10.437
-0.078,-0.464,0.729,-3.662,27.161,11.108
-0.044,-0.461,0.72,-3.845,27.527,11.902
-0.014,-0.466,0.717,-4.395,27.954,12.695
0,-0.48,0.737,-5.127,28.137,13.184
0.007,-0.494,0.776,-6.287,28.076,13.489
0.02,-0.496,0.813,-7.263,27.588,13.55
0.04,-0.488,0.828,-8.972,26.794,13.306
0.066,-0.475,0.816,-10.559,25.94,13.123
0.087,-0.468,0.799,-11.963,24.902,13
0.099,-0.469,0.81,-13,24.048,12.878
0.111,-0.476,0.848,-13.855,23.499,12.817
0.123,-0.482,0.879,-14.648,22.278,12.451
0.138,-0.478,0.893,-15.259,20.874,11.963
0.154,-0.47,0.898,-15.747,19.592,11.292
0.168,-0.463,0.893,-16.052,18.311,10.62
0.178,-0.453,0.869,-15.991,17.334,10.01
0.193,-0.437,0.831,-15.198,16.785,9.277
0.208,-0.417,0.787,-13.794,16.785,8.667
0.223,-0.412,0.773,-12.329,17.517,8.484
0.229,-0.419,0.811,-10.681,18.372,8.362
0.234,-0.427,0.854,-9.521,18.921,8.057
0.241,-0.437,0.884,-8.301,19.043,7.507
0.247,-0.446,0.914,-7.019,18.555,6.653
0.255,-0.455,0.954,-6.104,17.761,5.493
0.261,-0.457,0.979,-5.554,16.785,4.395
0.271,-0.446,0.968,-5.127,15.442,2.93
0.28,-0.433,0.948,-4.883,14.099,1.648
0.281,-0.429,0.963,-4.578,12.939,0.366
0.279,-0.427,0.983,-4.272,11.902,-0.854
0.287,-0.431,0.98,-4.15,10.986,-2.075
0.296,-0.443,0.983,-3.906,9.766,-3.113
0.3,-0.46,1.002,-3.845,8.728,-4.211
0.302,-0.462,1.004,-3.418,7.812,-5.981
0.31,-0.447,0.977,-3.174,6.714,-7.568
0.316,-0.421,0.952,-2.563,5.92,-9.094
0.317,-0.406,0.976,-2.38,5.371,-10.193
0.312,-0.404,1,-2.319,5.249,-10.803
0.312,-0.409,0.995,-2.38,4.944,-11.719
0.317,-0.415,0.959,-2.563,4.761,-12.573
0.321,-0.411,0.92,-2.38,5.127,-13.428
0.328,-0.397,0.889,-1.77,5.615,-14.404
0.334,-0.388,0.894,-0.916,6.409,-14.954
0.326,-0.381,0.963,0.061,6.836,-15.381
0.314,-0.376,1.049,0.854,6.775,-15.503
0.305,-0.372,1.09,0.854,5.92,-15.198
0.303,-0.377,1.08,0.671,4.578,-14.954
