aX,aY,aZ,gX,gY,gZ
-0.331,-0.231,-1.008,-9.216,14.221,23.499
-0.322,-0.213,-0.951,-1.953,16.541,24.963
-0.315,-0.194,-0.904,6.409,17.578,26.489
-0.312,-0.172,-0.864,15.808,18.311,27.527
-0.314,-0.151,-0.826,26.123,18.494,28.198
-0.315,-0.132,-0.793,37.109,18.066,28.809
-0.315,-0.111,-0.764,48.462,17.151,29.175
-0.311,-0.098,-0.752,59.875,15.747,29.297
-0.306,-0.09,-0.757,70.74,13.916,29.297
-0.303,-0.084,-0.755,80.322,12.512,29.236
-0.295,-0.079,-0.741,88.074,11.658,29.053
-0.28,-0.074,-0.734,94.421,11.047,28.503
-0.273,-0.066,-0.724,99.182,10.986,28.198
-0.276,-0.052,-0.727,103.638,10.925,27.588
-0.277,-0.035,-0.747,107.605,11.597,26.733
-0.276,-0.016,-0.767,111.816,12.756,25.94
-0.271,0.001,-0.763,115.845,14.709,25.085
-0.261,0.017,-0.773,119.751,17.151,24.597
-0.255,0.043,-0.798,122.742,20.203,24.231
-0.258,0.074,-0.851,125.366,24.292,23.865
-0.264,0.102,-0.912,127.38,29.846,23.865
-0.268,0.131,-0.931,129.395,36.865,24.231
-0.262,0.176,-0.92,131.042,45.715,25.085
-0.246,0.228,-0.903,133.362,55.359,26.611
-0.225,0.277,-0.861,137.39,64.758,28.625
-0.202,0.328,-0.796,143.433,73.242,31.128
-0.177,0.37,-0.75,150.635,81.055,34.302
-0.155,0.395,-0.724,158.936,87.708,38.269
-0.149,0.423,-0.705,167.114,93.75,42.786
-0.158,0.45,-0.695,174.988,99.976,47.485
-0.165,0.472,-0.631,182.556,106.567,52.612
-0.146,0.482,-0.562,189.819,113.342,58.105
-0.119,0.49,-0.508,196.716,118.835,63.843
-0.108,0.502,-0.449,202.881,123.23,69.397
-0.11,0.516,-0.426,208.618,126.831,75.134
-0.12,0.529,-0.4,213.928,129.761,81.177
-0.135,0.553,-0.35,218.445,133.118,87.097
-0.154,0.563,-0.306,222.29,136.78,92.957
-0.161,0.55,-0.227,224.731,140.686,98.877
-0.152,0.525,-0.151,225.769,143.921,104.553
-0.146,0.499,-0.076,225.037,145.996,109.253
-0.141,0.491,0.01,222.717,146.729,113.342
-0.145,0.505,0.064,218.933,146.423,117.798
-0.169,0.535,0.066,214.294,145.813,122.192
-0.206,0.555,0.06,208.862,145.935,126.953
-0.234,0.544,0.09,202.881,147.461,132.385
-0.251,0.512,0.159,196.655,150.024,137.451
-0.265,0.474,0.227,190.063,152.832,141.785
-0.269,0.42,0.268,183.594,155.579,144.836
-0.26,0.379,0.313,176.636,157.837,146.79
-0.261,0.371,0.333,168.762,159.973,148.315
-0.265,0.367,0.322,160.706,162.354,150.024
-0.288,0.351,0.39,152.039,165.222,152.344
-0.314,0.324,0.455,143.799,169.189,154.114
-0.317,0.272,0.494,136.047,173.462,155.212
-0.284,0.212,0.538,127.991,177.612,154.968
-0.262,0.159,0.584,119.263,181.641,154.236
-0.252,0.119,0.618,110.291,184.631,152.954
-0.234,0.088,0.647,100.708,187.805,151.489
-0.231,0.06,0.734,91.064,190.857,150.024
-0.238,0.031,0.833,82.336,193.42,148.254
-0.242,-0.008,0.906,74.036,195.496,146.057
-0.238,-0.048,0.969,67.139,196.838,142.883
-0.225,-0.086,1.018,60.974,197.449,138.794
-0.215,-0.117,1.05,55.054,197.571,134.155
-0.216,-0.135,1.083,49.316,197.632,129.272
-0.212,-0.155,1.12,43.823,197.754,124.451
-0.208,-0.179,1.176,38.33,197.571,119.995
-0.217,-0.196,1.255,33.02,197.754,115.173
-0.221,-0.217,1.305,28.32,197.205,109.68
-0.215,-0.241,1.338,24.048,196.289,103.76
-0.212,-0.261,1.379,20.081,195.129,97.534
-0.197,-0.268,1.403,15.564,193.665,90.759
-0.187,-0.266,1.407,10.986,192.017,84.229
-0.189,-0.268,1.418,6.287,190.247,77.82
-0.182,-0.267,1.443,1.587,188.782,71.594
-0.171,-0.261,1.457,-3.052,187.256,65.613
-0.161,-0.259,1.49,-7.263,185.242,59.631
-0.154,-0.261,1.513,-11.108,182.8,53.772
-0.149,-0.271,1.551,-14.465,180.054,48.279
-0.138,-0.272,1.598,-17.029,176.331,42.847
-0.145,-0.26,1.629,-19.104,172.18,37.415
-0.167,-0.24,1.642,-20.447,167.48,32.104
-0.18,-0.218,1.648,-20.081,162.659,27.283
-0.181,-0.191,1.654,-19.592,157.898,22.522
-0.18,-0.169,1.663,-19.226,153.015,17.883
-0.175,-0.155,1.673,-19.226,148.254,13.55
-0.17,-0.144,1.655,-19.47,143.005,9.888
-0.176,-0.127,1.629,-20.508,138.062,6.653
-0.179,-0.111,1.601,-22.583,133.667,4.272
-0.178,-0.095,1.572,-25.085,129.333,2.563
-0.181,-0.083,1.548,-27.283,125.549,1.221
-0.18,-0.068,1.541,-29.541,121.582,0.244
