aX,aY,aZ,gX,gY,gZ
0.29,-0.269,0.957,3.723,-1.77,-0.671
0.288,-0.283,0.959,2.869,-1.831,-1.282
0.289,-0.291,0.962,2.197,-1.953,-1.221
0.294,-0.281,0.962,1.709,-1.526,0
0.299,-0.26,0.961,2.319,-1.221,0.732
0.298,-0.255,0.958,2.625,-1.038,0.122
0.297,-0.272,0.954,2.563,-0.854,-1.282
0.292,-0.287,0.952,2.38,-0.977,-1.77
0.29,-0.283,0.95,2.38,-1.038,-0.916
0.288,-0.274,0.948,2.38,-1.038,-0.061
0.289,-0.28,0.954,2.38,-1.526,-0.427
0.289,-0.286,0.961,2.014,-1.709,-0.549
0.29,-0.278,0.962,1.892,-1.709,0.122
0.293,-0.269,0.959,1.709,-1.343,0.305
0.293,-0.266,0.958,1.587,-1.343,0.122
0.29,-0.266,0.955,1.343,-1.526,-0.366
0.287,-0.274,0.953,1.465,-1.77,-0.977
0.285,-0.283,0.963,1.953,-2.441,-1.16
0.284,-0.288,0.972,2.808,-2.563,-0.793
0.286,-0.289,0.978,3.235,-2.014,-0.427
0.286,-0.282,0.97,3.418,-0.916,0.366
0.288,-0.276,0.953,3.723,-0.305,0.732
0.292,-0.277,0.943,4.272,-0.488,0.61
0.296,-0.279,0.943,4.7,-0.977,0.488
0.299,-0.275,0.947,4.395,-1.709,0.732
0.302,-0.267,0.952,4.089,-2.136,0.916
0.301,-0.265,0.954,3.784,-2.136,0.549
0.299,-0.273,0.954,3.113,-1.892,-0.244
0.297,-0.275,0.95,2.197,-1.343,-0.488
0.294,-0.277,0.949,1.648,-1.099,-0.549
0.288,-0.279,0.95,1.16,-1.404,-0.488
0.288,-0.279,0.951,1.709,-1.831,-0.366
0.288,-0.285,0.955,2.625,-2.38,-0.244
0.29,-0.288,0.965,2.869,-2.991,-0.122
0.291,-0.278,0.968,2.93,-2.625,0.549
0.294,-0.274,0.964,2.869,-2.197,0.549
0.292,-0.286,0.955,2.258,-2.136,0.122
0.294,-0.287,0.958,2.136,-2.38,0.305
0.297,-0.269,0.96,2.808,-2.747,1.038
0.301,-0.265,0.962,2.563,-2.625,0.671
0.3,-0.273,0.952,2.747,-2.258,-0.305
0.296,-0.27,0.965,2.625,-2.441,-0.366
0.291,-0.271,0.954,1.77,-2.136,-0.793
0.286,-0.28,0.94,2.014,-1.587,-1.282
0.283,-0.289,0.939,3.052,-2.747,-1.465
0.283,-0.285,0.935,4.028,-3.906,-0.793
0.281,-0.273,0.933,4.089,-4.517,-0.244
0.284,-0.269,0.944,3.601,-5.432,-0.732
0.273,-0.285,0.985,3.723,-6.348,-1.465
0.278,-0.298,0.98,2.441,-5.005,-1.831
0.272,-0.293,0.968,2.686,-3.113,-0.854
0.273,-0.296,0.983,2.197,-2.869,-0.549
0.273,-0.294,0.979,1.953,-1.831,-0.183
0.276,-0.299,0.957,1.221,-0.305,0.122
0.282,-0.296,0.947,1.221,-0.244,0.854
0.289,-0.286,0.955,1.587,-1.099,1.648
0.293,-0.272,0.961,1.587,-1.038,2.136
0.294,-0.27,0.952,1.953,-0.61,1.77
0.293,-0.284,0.951,1.77,-0.61,0.732
0.294,-0.284,0.95,2.014,-0.854,0.732
0.295,-0.275,0.947,2.319,-0.916,0.977
0.298,-0.269,0.946,1.831,-0.854,0.671
0.295,-0.271,0.946,1.16,-0.793,0
0.293,-0.28,0.945,1.221,-1.282,-0.732
0.289,-0.288,0.952,0.732,-1.831,-0.793
0.287,-0.282,0.959,0.977,-2.38,-0.366
0.286,-0.282,0.973,1.892,-2.869,-0.244
0.289,-0.29,0.988,1.953,-2.869,-0.61
0.293,-0.281,0.985,1.648,-1.831,0.061
0.292,-0.264,0.966,1.526,-0.244,0.671
0.29,-0.267,0.948,1.526,0.183,-0.244
0.282,-0.287,0.939,1.343,-0.305,-1.587
0.277,-0.298,0.945,1.648,-1.77,-1.465
0.276,-0.288,0.956,2.197,-2.747,-0.488
0.274,-0.285,0.962,2.319,-2.93,0
0.274,-0.289,0.963,2.136,-2.625,0
0.278,-0.28,0.957,1.77,-2.441,0.549
0.282,-0.268,0.95,2.014,-2.502,0.732
0.281,-0.279,0.957,2.686,-3.296,-0.061
0.283,-0.293,0.972,2.502,-3.906,-0.427
0.282,-0.285,0.971,3.052,-3.235,0.427
0.28,-0.278,0.963,3.418,-2.747,0.793
0.283,-0.283,0.943,3.235,-2.38,0.305
0.285,-0.283,0.938,3.54,-2.808,0.305
0.286,-0.285,0.962,3.906,-4.272,0.366
0.287,-0.286,0.969,3.845,-4.272,0.549
0.289,-0.278,0.959,3.723,-3.357,0.732
0.287,-0.283,0.974,3.723,-3.479,0.427
0.287,-0.296,0.985,3.357,-3.296,0
0.286,-0.296,0.977,3.113,-2.014,0.366
0.289,-0.285,0.955,2.563,-0.549,1.099
0.289,-0.277,0.944,2.563,-0.488,1.16
0.29,-0.279,0.943,2.747,-1.526,0.488
0.291,-0.275,0.937,2.686,-1.77,-0.061
0.29,-0.277,0.938,2.502,-2.258,-0.671
0.286,-0.284,0.945,1.953,-2.502,-1.282
0.282,-0.287,0.945,1.953,-2.38,-1.465
0.279,-0.293,0.949,2.258,-2.563,-1.404
0.277,-0.301,0.964,2.258,-3.052,-1.099
0.28,-0.295,0.976,2.197,-2.93,-0.366
0.28,-0.28,0.974,2.563,-2.258,0.305
0.279,-0.281,0.964,2.136,-1.343,0.061
0.279,-0.288,0.954,2.136,-0.916,-0.61
0.278,-0.291,0.95,1.892,-1.099,-0.549
0.277,-0.29,0.949,1.587,-1.465,-0.366
0.279,-0.289,0.948,1.343,-1.465,-0.244
0.281,-0.286,0.955,0.916,-1.953,-0.305
0.281,-0.282,0.961,0.549,-2.075,-0.122
0.281,-0.283,0.967,0.122,-1.892,-0.183
0.282,-0.287,0.97,0.488,-1.709,-0.366
0.282,-0.286,0.97,1.099,-1.77,-0.366
0.281,-0.281,0.97,1.404,-1.587,-0.183
0.281,-0.281,0.962,1.831,-1.099,-0.305
0.281,-0.29,0.959,1.953,-1.099,-0.549
0.28,-0.295,0.967,2.319,-1.709,-0.427
0.282,-0.291,0.973,2.38,-2.258,-0.061
0.284,-0.283,0.973,2.014,-1.648,0.305
0.28,-0.282,0.96,1.221,-0.549,0.305
0.279,-0.283,0.944,0.671,0.122,-0.122
0.276,-0.284,0.939,0.549,-0.305,-0.183
0.276,-0.281,0.948,1.16,-1.526,-0.061
0.281,-0.285,0.964,2.014,-2.686,-0.305
0.28,-0.289,0.977,1.953,-2.625,-0.183
0.28,-0.286,0.977,1.831,-1.892,0.183
0.276,-0.281,0.967,2.197,-1.221,0.305
0.274,-0.285,0.964,2.197,-1.282,0.183
0.275,-0.288,0.964,2.197,-1.526,-0.061
0.271,-0.289,0.966,2.441,-1.831,0
0.271,-0.295,0.975,2.502,-2.319,-0.061
0.274,-0.299,0.984,3.052,-2.136,0
0.281,-0.291,0.981,3.601,-1.282,0.61
0.284,-0.278,0.961,3.54,-0.061,1.099
0.283,-0.273,0.941,3.296,0.61,0.671
0.28,-0.281,0.929,3.235,0.183,-0.244
0.279,-0.3,0.935,3.418,-0.793,-1.099
0.28,-0.304,0.946,3.723,-2.258,-0.671
0.281,-0.294,0.963,3.784,-2.808,0.366
0.286,-0.288,0.977,3.54,-2.625,0.854
0.287,-0.287,0.974,2.991,-1.648,0.671
0.286,-0.288,0.964,2.258,-0.549,0.488
0.282,-0.29,0.95,1.77,0,0.305
0.283,-0.288,0.943,1.526,-0.244,0.183
0.282,-0.282,0.943,1.709,-0.977,0.244
0.281,-0.282,0.948,1.77,-1.526,0.122
0.28,-0.288,0.954,1.892,-1.77,-0.427
0.278,-0.295,0.962,1.831,-1.892,-0.427
0.281,-0.293,0.962,1.709,-1.587,-0.122
0.283,-0.284,0.956,1.221,-1.099,0.244
0.285,-0.28,0.95,0.916,-0.854,0.244
0.288,-0.279,0.947,0.854,-1.282,-0.183
0.286,-0.279,0.953,1.343,-2.014,-0.549
0.282,-0.287,0.963,1.465,-2.502,-1.282
0.276,-0.299,0.975,1.648,-2.747,-1.465
0.274,-0.307,0.986,1.587,-2.502,-1.038
0.274,-0.301,0.989,1.77,-1.77,-0.061
0.276,-0.287,0.974,1.587,-0.549,0.854
0.276,-0.286,0.957,1.16,0.305,0.671
0.279,-0.286,0.946,0.916,0.122,0.244
0.277,-0.28,0.945,1.038,-0.488,0.305
0.277,-0.28,0.95,1.343,-1.465,0
0.275,-0.289,0.953,1.526,-1.77,-0.61
0.274,-0.296,0.964,1.526,-2.197,-0.61
0.271,-0.29,0.97,1.77,-2.014,0
0.273,-0.292,0.969,1.526,-1.221,0
