aX,aY,aZ,gX,gY,gZ
0.074,-0.088,0.959,7.935,1.343,3.418
0.073,-0.082,1.006,8.911,2.258,3.723
0.077,-0.093,1.038,10.071,2.808,4.028
0.085,-0.106,1.059,11.23,3.235,4.395
0.09,-0.122,1.044,12.268,3.235,4.333
0.097,-0.141,0.992,12.878,3.113,4.272
0.101,-0.15,0.941,13.977,3.418,4.089
0.104,-0.154,0.935,15.259,3.784,3.784
0.099,-0.152,0.993,16.296,4.333,3.174
0.099,-0.148,1.055,17.273,4.272,2.441
0.107,-0.146,1.092,17.883,3.662,2.136
0.115,-0.146,1.113,18.25,2.808,1.526
0.119,-0.152,1.134,18.005,1.77,1.099
0.123,-0.157,1.134,17.395,0.366,0.488
0.125,-0.159,1.092,16.663,-0.916,-0.061
0.133,-0.155,1.041,15.625,-2.075,-0.427
0.148,-0.149,1.001,14.404,-2.808,-0.549
0.165,-0.142,0.987,13.306,-2.93,-0.916
0.173,-0.135,0.98,12.146,-2.686,-1.16
0.173,-0.137,0.976,10.986,-2.319,-1.343
0.169,-0.145,0.973,9.521,-1.831,-1.282
0.164,-0.157,0.975,8.179,-1.282,-1.343
0.165,-0.162,0.981,6.836,-0.977,-1.648
0.169,-0.167,0.975,5.554,-0.793,-1.77
0.17,-0.171,0.975,4.15,-0.671,-2.014
0.169,-0.168,0.999,2.869,-0.732,-2.258
0.17,-0.158,1.034,1.404,-0.916,-2.441
0.178,-0.152,1.06,-0.305,-1.16,-2.625
0.181,-0.15,1.064,-1.892,-1.404,-2.686
0.183,-0.148,1.053,-3.662,-1.648,-2.869
0.185,-0.15,1.041,-5.127,-1.587,-2.93
0.187,-0.153,1.033,-6.287,-1.465,-3.052
0.185,-0.155,1.008,-7.202,-1.465,-3.235
0.182,-0.159,0.985,-7.507,-1.343,-3.479
0.187,-0.156,0.974,-7.629,-1.221,-3.662
0.194,-0.148,1.016,-7.629,-0.977,-3.906
0.196,-0.137,1.069,-7.507,-1.16,-4.272
0.195,-0.136,1.093,-7.69,-1.587,-4.578
0.192,-0.135,1.093,-7.935,-2.502,-5.005
0.193,-0.128,1.099,-8.118,-3.54,-5.188
0.193,-0.119,1.093,-8.118,-4.395,-5.554
0.186,-0.114,1.074,-8.118,-5.249,-5.615
0.182,-0.108,1.049,-8.24,-5.981,-5.676
0.182,-0.099,1.033,-7.812,-6.653,-5.859
0.19,-0.093,1.016,-7.324,-7.019,-5.798
0.202,-0.094,1.004,-7.08,-7.019,-5.676
0.202,-0.093,0.985,-6.653,-6.836,-5.737
0.203,-0.091,0.968,-5.92,-6.714,-5.615
0.199,-0.092,0.958,-5.676,-6.287,-5.493
0.192,-0.096,0.95,-5.005,-5.737,-5.31
0.181,-0.101,0.948,-4.639,-5.371,-5.188
0.176,-0.1,0.974,-3.967,-5.249,-5.066
0.176,-0.089,1.008,-3.235,-5.249,-5.127
0.179,-0.078,1.044,-2.686,-5.493,-4.883
0.187,-0.067,1.062,-2.136,-5.981,-4.639
0.194,-0.059,1.066,-1.648,-6.47,-4.517
0.194,-0.056,1.058,-1.404,-6.653,-4.028
0.187,-0.062,1.049,-1.16,-6.897,-3.723
0.176,-0.071,1.033,-0.549,-7.324,-3.357
0.168,-0.074,1.027,-0.122,-7.751,-3.113
0.167,-0.075,1.033,0.61,-8.179,-2.808
0.168,-0.077,1.054,1.343,-8.606,-2.563
0.173,-0.071,1.077,2.075,-9.399,-2.319
0.186,-0.064,1.093,2.808,-10.193,-1.831
0.194,-0.062,1.108,3.113,-10.803,-1.343
0.19,-0.063,1.108,3.418,-11.475,-1.038
0.185,-0.067,1.095,3.601,-12.207,-0.61
0.178,-0.075,1.073,3.54,-12.878,-0.183
0.167,-0.081,1.046,3.54,-13.367,-0.061
0.156,-0.084,1.034,3.601,-13.916,0.305
0.149,-0.084,1.034,3.723,-14.282,0.61
0.146,-0.08,1.036,3.662,-14.648,1.038
0.139,-0.082,1.049,3.479,-14.832,1.587
0.136,-0.078,1.062,3.357,-14.954,1.831
0.133,-0.08,1.062,3.052,-15.381,2.014
0.126,-0.083,1.045,2.625,-15.686,2.258
0.118,-0.093,1.027,2.136,-15.503,2.502
0.108,-0.098,1.008,1.892,-15.503,2.747
0.102,-0.097,0.998,2.075,-15.381,2.747
0.097,-0.094,0.99,2.075,-15.076,2.869
0.094,-0.094,0.993,2.136,-14.709,3.235
0.087,-0.092,1.014,2.197,-14.16,3.296
0.077,-0.09,1.044,2.258,-13.916,3.479
0.069,-0.091,1.073,1.892,-13.672,3.662
0.065,-0.088,1.087,1.465,-13.733,3.845
0.063,-0.084,1.086,0.916,-13.977,3.906
0.067,-0.083,1.075,0.183,-14.221,3.967
0.074,-0.082,1.044,-0.488,-14.221,4.15
0.081,-0.078,1.008,-1.16,-13.916,4.211
0.09,-0.072,0.977,-1.587,-13.184,4.211
0.088,-0.08,0.963,-1.709,-12.085,4.456
0.072,-0.089,0.965,-2.136,-10.986,4.517
0.059,-0.098,0.983,-2.319,-9.766,4.272
0.049,-0.102,1.004,-2.625,-8.911,3.906
0.043,-0.099,1.018,-2.93,-8.301,3.479
